galaxy,n_points,v_flat_kms,env_scale,file
NGC4051_rotmod,7,153.6,26.2144,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4051_rotmod.dat
NGC4068_rotmod,6,28.78,0.9203204444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4068_rotmod.dat
NGC4085_rotmod,7,127.6,18.090844444444443,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4085_rotmod.dat
NGC4088_rotmod,12,169.8,32.0356,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4088_rotmod.dat
NGC4100_rotmod,24,160.4,28.586844444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4100_rotmod.dat
NGC4138_rotmod,7,157.0,27.387777777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4138_rotmod.dat
NGC4157_rotmod,17,185.2,38.11004444444444,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4157_rotmod.dat
NGC4183_rotmod,23,110.8,13.640711111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4183_rotmod.dat
NGC4214_rotmod,14,80.42,7.185973777777778,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4214_rotmod.dat
NGC4217_rotmod,19,178.8,35.5216,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4217_rotmod.dat
NGC4389_rotmod,6,82.26,7.518564,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4389_rotmod.dat
NGC4559_rotmod,32,120.8,16.214044444444443,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC4559_rotmod.dat
NGC5005_rotmod,18,264.6,77.7924,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC5005_rotmod.dat
NGC5033_rotmod,22,193.2,41.47359999999999,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC5033_rotmod.dat
NGC5055_rotmod,28,176.6,34.65284444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC5055_rotmod.dat
NGC5371_rotmod,19,208.8,48.4416,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC5371_rotmod.dat
NGC5585_rotmod,24,90.75999999999999,9.152641777777777,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC5585_rotmod.dat
NGC5907_rotmod,19,215.8,51.74404444444445,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC5907_rotmod.dat
NGC5985_rotmod,33,290.6,93.83151111111113,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC5985_rotmod.dat
NGC6015_rotmod,44,154.0,26.351111111111116,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC6015_rotmod.dat
NGC6195_rotmod,23,251.0,70.00111111111111,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC6195_rotmod.dat
NGC6503_rotmod,31,115.6,14.848177777777776,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC6503_rotmod.dat
NGC6674_rotmod,15,241.6,64.85617777777777,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC6674_rotmod.dat
NGC6789_rotmod,4,37.725,1.5813062500000001,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC6789_rotmod.dat
NGC6946_rotmod,58,156.8,27.318044444444453,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC6946_rotmod.dat
NGC7331_rotmod,36,238.2,63.04359999999999,C:\Dropbox\projects\new_master_equation_with_gauge_structure_test\data\sparc\NGC7331_rotmod.dat
